# www.neaspec.com
# Scan:	 	Approach Curve
# Project:	 	Test
# Description:	 	calibration_sample_TGQ1_new_tip_approach
# Date:	 	02/23/2024 11:42:42
# Scanner Center Position (X, Y):	[µm]	50.15	48.86	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.050
# Pixel Area (X, Y, Z):	[px]	1	1	1000
# Averaging:	 	1	 	 
# Integration time:	[ms]	10	 	 
# Laser Source:	 	
# Detector:	 	None
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	273,028.232	 	 
# Tip Amplitude:	[mV]	9.800	 	 
# Tapping Amplitude:	[nm]	70.224	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	85.15	 	 
# Regulator (P, I, D):	 	1.851189	2.633179	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	14.000	 	 
# Q-Factor:	 	380.2	 	 
# Version:	 	1.10.9592.0
Row	Column	Run	Depth	Z	M	EA	EP	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	17	6.822843E-07	NaN	NaN	NaN	127.2776	0	71.10979	2.07025	0.001183537	-1.931342	0.000808412	0.1216031	0.0009873649	1.726459	0	0	-1.001734	0	0.001533341	0.7535635	0.0006854233	-1.388236	0.0003582926	0.7129823	0.0005014138	0.80316	0	0	
0	0	0	18	6.823344E-07	NaN	NaN	NaN	127.2772	0	71.20941	2.068171	0.0008562283	2.689229	0.001471043	2.223114	0.001596645	2.103161	0	0	-1.001952	0	0.0004304757	-2.272541	0.001568013	-1.281542	0.0008873608	1.990561	0.0008998211	0.8182753	0	0	
0	0	0	19	6.823844E-07	NaN	NaN	NaN	127.2911	0	71.22612	2.071676	0.003802506	-0.6040679	0.0007525757	2.198605	0.0006900971	-2.124465	0	0	-1.001649	0	0.0016428	-1.406058	0.001892639	0.3353739	0.0001137876	-1.121683	0.0005649478	2.262994	0	0	
0	0	0	20	6.824345E-07	NaN	NaN	NaN	127.2959	0	71.27407	2.066873	0.00209353	0.8121879	0.001129425	-3.092751	0.001329903	0.6766988	0	0	-1.002469	0	0.0009821572	-1.767015	0.00234875	2.348524	0.0003366321	-2.649712	0.0006216059	0.8003528	0	0	
0	0	0	21	6.824845E-07	NaN	NaN	NaN	127.2961	0	71.42208	2.060498	0.005737963	-1.673663	0.00087796	-1.663147	0.001858297	2.393423	0	0	-1.002137	0	0.001323926	-1.636277	0.001779166	-0.4004966	0.0006842681	-3.053254	0.001215288	-0.218417	0	0	
0	0	0	22	6.825346E-07	NaN	NaN	NaN	127.2721	0	71.25422	2.063666	0.003999969	1.210722	0.0002316142	-2.859244	3.024539E-05	-1.278463	0	0	-1.002293	0	0.0005495041	1.872619	0.002360418	2.934217	0.000812467	1.704584	0.0003198058	2.018058	0	0	
0	0	0	23	6.825846E-07	NaN	NaN	NaN	127.2786	0	71.40818	2.057734	0.002278006	0.2076712	0.001858537	-0.4806471	0.002628701	-0.9189736	0	0	-1.00155	0	0.001008958	2.240417	0.0008430285	2.318035	0.001299876	-0.06824387	0.0005481148	-2.253324	0	0	
0	0	0	24	6.826347E-07	NaN	NaN	NaN	127.2799	0	71.61297	2.054019	0.004987289	0.03019101	0.001903559	-0.8795155	0.0005933111	1.414264	0	0	-1.002296	0	0.001478891	-2.196275	0.001894723	2.188786	0.0009304693	-1.250171	0.0009366722	-0.9939966	0	0	
0	0	0	25	6.826827E-07	NaN	NaN	NaN	127.2955	0	71.51949	2.057137	0.00290707	1.427158	0.001422982	3.013141	0.002735665	2.143203	0	0	-1.00202	0	0.002192776	0.1525891	0.002394626	-2.559691	0.0008006247	-1.832294	0.0009009038	-0.07633013	0	0	
0	0	0	26	6.827348E-07	NaN	NaN	NaN	127.2979	0	71.5512	2.048928	0.001247472	-1.647614	0.001256156	2.246783	0.0005215646	-0.2371572	0	0	-1.002352	0	0.0009132712	-1.973329	0.001541129	-1.56784	0.0006349718	-1.794044	0.0005458277	0.1110299	0	0	
