Profile 1             
x       y           
[m]     [m]         
0  -2,5845828e-007            
5,0276521e-008  -2,7216816e-007            
1,0055304e-007  -2,7699537e-007            
1,5082956e-007  -2,7630752e-007            
2,0110608e-007  -2,7446816e-007            
2,513826e-007  -2,7495377e-007            
3,0165913e-007  -2,7358501e-007            
3,5193565e-007  -2,6933446e-007            
4,0221217e-007  -2,6708977e-007            
4,5248869e-007  -2,6355512e-007            
5,0276521e-007  -2,5596311e-007            
5,5304173e-007  -1,7829034e-007            
6,0331825e-007  -1,1913403e-007            
6,5359477e-007  -9,5985335e-008            
7,0387129e-007  -9,1209867e-008            
7,5414781e-007  -9,2978565e-008            
8,0442433e-007  -9,5109039e-008            
8,5470085e-007  -1,217836e-007            
9,0497738e-007  -1,9726721e-007            
9,552539e-007  -2,3506108e-007            
1,0055304e-006  -2,427717e-007            
1,0558069e-006  -2,443259e-007            
1,1060835e-006  -2,4310766e-007            
1,15636e-006  -1,9437237e-007            
1,2066365e-006  -1,5739017e-007            
1,256913e-006  -1,4171905e-007            
1,3071895e-006  -1,3114919e-007            
1,3574661e-006  -1,2786426e-007            
1,4077426e-006  -1,3143179e-007            
1,4580191e-006  -1,5241594e-007            
1,5082956e-006  -2,1681142e-007            
1,5585721e-006  -2,6253472e-007            
1,6088487e-006  -2,6775342e-007            
1,6591252e-006  -2,6589034e-007            
1,7094017e-006  -2,6550375e-007            
1,7596782e-006  -2,6528668e-007            
1,8099548e-006  -2,6338432e-007            
1,8602313e-006  -2,6016184e-007            
1,9105078e-006  -2,5772512e-007            
1,9607843e-006  -2,5709198e-007            
2,0110608e-006  -2,5460611e-007            
2,0613374e-006  -2,4990754e-007            
2,1116139e-006  -1,7937256e-007            
2,1618904e-006  -1,2002645e-007            
2,2121669e-006  -1,0274783e-007            
2,2624434e-006  -1,0820307e-007            
2,31272e-006  -1,1633154e-007            
2,3629965e-006  -1,2558979e-007            
2,413273e-006  -1,548747e-007            
2,4635495e-006  -2,1674362e-007            
2,513826e-006  -2,644719e-007            
2,5641026e-006  -2,702896e-007            
2,6143791e-006  -2,7153772e-007            
2,6646556e-006  -2,743655e-007            
2,7149321e-006  -2,7447754e-007            
2,7652086e-006  -2,7675245e-007            
2,8154852e-006  -2,7770122e-007            
2,8657617e-006  -2,7911432e-007            
2,9160382e-006  -2,8122774e-007            
2,9663147e-006  -2,7850435e-007            
3,0165913e-006  -2,7723983e-007            
3,0668678e-006  -2,7372138e-007            
3,1171443e-006  -2,525303e-007            
3,1674208e-006  -1,7368763e-007            
3,2176973e-006  -1,353486e-007            
3,2679739e-006  -1,2326803e-007            
3,3182504e-006  -1,17025e-007            
3,3685269e-006  -1,1673006e-007            
3,4188034e-006  -1,3823109e-007            
3,4690799e-006  -2,0332818e-007            
3,5193565e-006  -2,592797e-007            
3,569633e-006  -2,6555654e-007            
3,6199095e-006  -2,7104931e-007            
3,670186e-006  -2,7245462e-007            
3,7204625e-006  -2,4869271e-007            
3,7707391e-006  -1,9722446e-007            
3,8210156e-006  -1,7366171e-007            
3,8712921e-006  -1,608554e-007            
3,9215686e-006  -1,5410532e-007            
3,9718451e-006  -1,5422076e-007            
4,0221217e-006  -1,6838246e-007            
4,0723982e-006  -2,1150532e-007            
4,1226747e-006  -2,7640365e-007            
4,1729512e-006  -2,8788452e-007            
4,2232278e-006  -2,8574607e-007            
4,2735043e-006  -2,8274644e-007            
4,3237808e-006  -2,78036e-007            
4,3740573e-006  -2,7357904e-007            
4,4243338e-006  -2,6871941e-007            
4,4746104e-006  -2,6361038e-007            
4,5248869e-006  -2,6169766e-007            
4,5751634e-006  -2,594307e-007            
4,6254399e-006  -2,5630754e-007            
4,6757164e-006  -2,3854764e-007            
4,725993e-006  -1,8052513e-007            
4,7762695e-006  -1,366559e-007            
4,826546e-006  -1,2150995e-007            
4,8768225e-006  -1,2275961e-007            
4,927099e-006  -1,2585993e-007            
4,9773756e-006  -1,2776496e-007            
