Profile 1             
x       y           
[m]     [m]         
0  0            
5,0274434e-008  0            
1,0054887e-007  0            
1,508233e-007  0            
2,0109774e-007  0            
2,5137217e-007  0            
3,016466e-007  0,013680298            
3,5192104e-007  0,025395474            
4,0219547e-007  0,031757157            
4,524699e-007  0,036784755            
5,0274434e-007  0,036924019            
5,5301877e-007  0,012785349            
6,0329321e-007  0,0059922472            
6,5356764e-007  0,0016526315            
7,0384207e-007  0,00011518775            
7,5411651e-007  0            
8,0439094e-007  0            
8,5466538e-007  0            
9,0493981e-007  0,004735836            
9,5521424e-007  0,0093393419            
1,0054887e-006  0,0088931662            
1,0557631e-006  0,010704184            
1,1060375e-006  0,010131589            
1,156312e-006  0,0071749115            
1,2065864e-006  0,0057526016            
1,2568608e-006  0,0012554458            
1,3071353e-006  7,4902264e-005            
1,3574097e-006  0            
1,4076841e-006  0            
1,4579586e-006  0            
1,508233e-006  0            
1,5585074e-006  0            
1,6087819e-006  0            
1,6590563e-006  0            
1,7093308e-006  0            
1,7596052e-006  0            
1,8098796e-006  0            
1,8601541e-006  0,025590576            
1,9104285e-006  0,057576167            
1,9607029e-006  0,076812347            
2,0109774e-006  0,099006811            
2,0612518e-006  0,11643742            
2,1115262e-006  0,018565586            
2,1618007e-006  0,010723424            
2,2120751e-006  0,0017688862            
2,2623495e-006  3,6907971e-005            
2,312624e-006  0            
2,3628984e-006  0            
2,4131728e-006  0            
2,4634473e-006  0            
2,5137217e-006  0            
2,5639961e-006  0            
2,6142706e-006  0            
2,664545e-006  0            
2,7148194e-006  0            
2,7650939e-006  0            
2,8153683e-006  0            
2,8656427e-006  0,00050180235            
2,9159172e-006  0,012467522            
2,9661916e-006  0,018225058            
3,016466e-006  0,0198241            
3,0667405e-006  0,019855944            
3,1170149e-006  0,013613679            
3,1672893e-006  0,0066326477            
3,2175638e-006  0,0020777401            
3,2678382e-006  0            
3,3181126e-006  0            
3,3683871e-006  0            
3,4186615e-006  0            
3,4689359e-006  0,00013366234            
3,5192104e-006  0,0020023409            
3,5694848e-006  0,0085231193            
3,6197592e-006  0,012947511            
3,6700337e-006  0,013505607            
3,7203081e-006  0,011416329            
3,7705825e-006  0,0061336208            
3,820857e-006  0,0010811926            
3,8711314e-006  0            
3,9214058e-006  0            
3,9716803e-006  0            
4,0219547e-006  0            
4,0722291e-006  0            
4,1225036e-006  0            
4,172778e-006  0            
4,2230524e-006  0            
4,2733269e-006  0            
4,3236013e-006  0            
4,3738757e-006  0            
4,4241502e-006  0,00034082164            
4,4744246e-006  0,0028774824            
4,524699e-006  0,0074486496            
4,5749735e-006  0,0080507007            
4,6252479e-006  0,010902352            
4,6755223e-006  0,011761214            
4,7257968e-006  0,0055378743            
4,7760712e-006  0,0055704411            
4,8263456e-006  0,0070326969            
4,8766201e-006  0,0074248378            
4,9268945e-006  0,0069580162            
4,9771689e-006  0,0075100926            
