Profile 1             
x       y           
[m]     [m]         
0  -1,3144784e-007            
5,0276521e-008  -1,7094727e-007            
1,0055304e-007  -2,2515857e-007            
1,5082956e-007  -2,4927733e-007            
2,0110608e-007  -2,5195681e-007            
2,513826e-007  -2,5215724e-007            
3,0165913e-007  -2,5155937e-007            
3,5193565e-007  -2,4735224e-007            
4,0221217e-007  -2,4438464e-007            
4,5248869e-007  -2,4148951e-007            
5,0276521e-007  -2,3711389e-007            
5,5304173e-007  -2,3260442e-007            
6,0331825e-007  -2,2885621e-007            
6,5359477e-007  -1,7621414e-007            
7,0387129e-007  -1,0421232e-007            
7,5414781e-007  -7,4401324e-008            
8,0442433e-007  -6,7329413e-008            
8,5470085e-007  -6,8041169e-008            
9,0497738e-007  -6,8971276e-008            
9,552539e-007  -8,8788269e-008            
1,0055304e-006  -1,5630083e-007            
1,0558069e-006  -2,0976305e-007            
1,1060835e-006  -2,2692905e-007            
1,15636e-006  -2,320017e-007            
1,2066365e-006  -2,335876e-007            
1,256913e-006  -2,1640328e-007            
1,3071895e-006  -1,6907514e-007            
1,3574661e-006  -1,3645459e-007            
1,4077426e-006  -1,1926821e-007            
1,4580191e-006  -1,1226685e-007            
1,5082956e-006  -1,1137292e-007            
1,5585721e-006  -1,2343457e-007            
1,6088487e-006  -1,7257463e-007            
1,6591252e-006  -2,326725e-007            
1,7094017e-006  -2,4262392e-007            
1,7596782e-006  -2,4310468e-007            
1,8099548e-006  -2,4160854e-007            
1,8602313e-006  -2,3790809e-007            
1,9105078e-006  -2,3671978e-007            
1,9607843e-006  -2,3583195e-007            
2,0110608e-006  -2,3352844e-007            
2,0613374e-006  -2,3020296e-007            
2,1116139e-006  -2,2777827e-007            
2,1618904e-006  -2,2496235e-007            
2,2121669e-006  -1,7310443e-007            
2,2624434e-006  -1,1554572e-007            
2,31272e-006  -9,5235348e-008            
2,3629965e-006  -9,2862581e-008            
2,413273e-006  -9,9627479e-008            
2,4635495e-006  -1,0751855e-007            
2,513826e-006  -1,2170216e-007            
2,5641026e-006  -1,5857141e-007            
2,6143791e-006  -2,2708685e-007            
2,6646556e-006  -2,5167138e-007            
2,7149321e-006  -2,5334373e-007            
2,7652086e-006  -2,5595886e-007            
2,8154852e-006  -2,5694555e-007            
2,8657617e-006  -2,58351e-007            
2,9160382e-006  -2,5907858e-007            
2,9663147e-006  -2,5748062e-007            
3,0165913e-006  -2,5572806e-007            
3,0668678e-006  -2,5434234e-007            
3,1171443e-006  -2,5266824e-007            
3,1674208e-006  -2,4869978e-007            
3,2176973e-006  -2,2626053e-007            
3,2679739e-006  -1,5675653e-007            
3,3182504e-006  -1,1497516e-007            
3,3685269e-006  -9,7461356e-008            
3,4188034e-006  -9,4700011e-008            
3,4690799e-006  -9,7627105e-008            
3,5193565e-006  -1,100668e-007            
3,569633e-006  -1,5471321e-007            
3,6199095e-006  -2,2147651e-007            
3,670186e-006  -2,5320699e-007            
3,7204625e-006  -2,564162e-007            
3,7707391e-006  -2,5981788e-007            
3,8210156e-006  -2,5414085e-007            
3,8712921e-006  -2,1234644e-007            
3,9215686e-006  -1,6534072e-007            
3,9718451e-006  -1,4458507e-007            
4,0221217e-006  -1,3608631e-007            
4,0723982e-006  -1,3595396e-007            
4,1226747e-006  -1,4776867e-007            
4,1729512e-006  -1,8118354e-007            
4,2232278e-006  -2,4216142e-007            
4,2735043e-006  -2,5999794e-007            
4,3237808e-006  -2,5644038e-007            
4,3740573e-006  -2,5231842e-007            
4,4243338e-006  -2,4741929e-007            
4,4746104e-006  -2,4250062e-007            
4,5248869e-006  -2,4070938e-007            
4,5751634e-006  -2,3882149e-007            
4,6254399e-006  -2,358336e-007            
4,6757164e-006  -2,3354513e-007            
4,725993e-006  -2,3381321e-007            
4,7762695e-006  -2,2824857e-007            
4,826546e-006  -2,0018457e-007            
4,8768225e-006  -1,6489426e-007            
4,927099e-006  -1,3734728e-007            
4,9773756e-006  -1,2434417e-007            
