Profile 1             
x       y           
[m]     [m]         
0  0            
5,0274434e-008  0            
1,0054887e-007  0            
1,508233e-007  0            
2,0109774e-007  0            
2,5137217e-007  0            
3,016466e-007  0            
3,5192104e-007  0,0096136224            
4,0219547e-007  0,018076996            
4,524699e-007  0,022233408            
5,0274434e-007  0,025840078            
5,5301877e-007  0,022168868            
6,0329321e-007  0,0093901735            
6,5356764e-007  0,0062090529            
7,0384207e-007  0,0023770622            
7,5411651e-007  0,00027657974            
8,0439094e-007  0            
8,5466538e-007  0            
9,0493981e-007  0            
9,5521424e-007  0,0035259514            
1,0054887e-006  0,0071234622            
1,0557631e-006  0,0073583911            
1,1060375e-006  0,0087729639            
1,156312e-006  0,010376798            
1,2065864e-006  0,0074149207            
1,2568608e-006  0,006664957            
1,3071353e-006  0,0030644082            
1,3574097e-006  0,00031324969            
1,4076841e-006  0            
1,4579586e-006  0            
1,508233e-006  0            
1,5585074e-006  0            
1,6087819e-006  0            
1,6590563e-006  0            
1,7093308e-006  0            
1,7596052e-006  0            
1,8098796e-006  0            
1,8601541e-006  0            
1,9104285e-006  0,039172938            
1,9607029e-006  0,067613513            
2,0109774e-006  0,084307265            
2,0612518e-006  0,11261            
2,1115262e-006  0,12356896            
2,1618007e-006  0,024431776            
2,2120751e-006  0,011728766            
2,2623495e-006  0,004041823            
2,312624e-006  7,4041853e-005            
2,3628984e-006  0            
2,4131728e-006  0            
2,4634473e-006  0            
2,5137217e-006  0            
2,5639961e-006  0            
2,6142706e-006  0            
2,664545e-006  0            
2,7148194e-006  0            
2,7650939e-006  0            
2,8153683e-006  0            
2,8656427e-006  0            
2,9159172e-006  0,00066137229            
2,9661916e-006  0,014292266            
3,016466e-006  0,016473218            
3,0667405e-006  0,017831761            
3,1170149e-006  0,020659413            
3,1672893e-006  0,017745318            
3,2175638e-006  0,0059178166            
3,2678382e-006  0,0040530459            
3,3181126e-006  0            
3,3683871e-006  0            
3,4186615e-006  0            
3,4689359e-006  0            
3,5192104e-006  0,00021313343            
3,5694848e-006  0,0045028651            
3,6197592e-006  0,025163933            
3,6700337e-006  0,033345065            
3,7203081e-006  0,032114483            
3,7705825e-006  0,025355006            
3,820857e-006  0,010527777            
3,8711314e-006  0,0041981719            
3,9214058e-006  0            
3,9716803e-006  0            
4,0219547e-006  0            
4,0722291e-006  0            
4,1225036e-006  0            
4,172778e-006  0            
4,2230524e-006  0            
4,2733269e-006  0            
4,3236013e-006  0            
4,3738757e-006  0            
4,4241502e-006  0            
4,4744246e-006  0,00045456047            
4,524699e-006  0,0030178995            
4,5749735e-006  0,0067199581            
4,6252479e-006  0,0094439992            
4,6755223e-006  0,013989146            
4,7257968e-006  0,014897022            
4,7760712e-006  0,0080781983            
4,8263456e-006  0,0066785189            
4,8766201e-006  0,0069627481            
4,9268945e-006  0,0077655141            
4,9771689e-006  0,0075407868            
