Profile 1             
x       y           
[m]     [m]         
0  -2,0857802e-007            
5,0276521e-008  -2,2861823e-007            
1,0055304e-007  -2,3816842e-007            
1,5082956e-007  -2,3781764e-007            
2,0110608e-007  -2,349289e-007            
2,513826e-007  -2,3417623e-007            
3,0165913e-007  -2,338358e-007            
3,5193565e-007  -2,3021334e-007            
4,0221217e-007  -2,2779892e-007            
4,5248869e-007  -2,2358156e-007            
5,0276521e-007  -1,5626943e-007            
5,5304173e-007  -8,7424029e-008            
6,0331825e-007  -5,8092191e-008            
6,5359477e-007  -5,3543916e-008            
7,0387129e-007  -5,4620762e-008            
7,5414781e-007  -5,3514851e-008            
8,0442433e-007  -7,3279728e-008            
8,5470085e-007  -1,4596678e-007            
9,0497738e-007  -1,9210384e-007            
9,552539e-007  -2,0027923e-007            
1,0055304e-006  -2,0169766e-007            
1,0558069e-006  -2,014908e-007            
1,1060835e-006  -1,5213632e-007            
1,15636e-006  -1,1328972e-007            
1,2066365e-006  -9,5610014e-008            
1,256913e-006  -8,8775443e-008            
1,3071895e-006  -8,6125272e-008            
1,3574661e-006  -8,6827545e-008            
1,4077426e-006  -1,0257285e-007            
1,4580191e-006  -1,5617021e-007            
1,5082956e-006  -2,1798873e-007            
1,5585721e-006  -2,2739951e-007            
1,6088487e-006  -2,2700072e-007            
1,6591252e-006  -2,2521045e-007            
1,7094017e-006  -2,2379757e-007            
1,7596782e-006  -2,2410724e-007            
1,8099548e-006  -2,2160337e-007            
1,8602313e-006  -2,1880936e-007            
1,9105078e-006  -2,1590162e-007            
1,9607843e-006  -2,1608614e-007            
2,0110608e-006  -2,121251e-007            
2,0613374e-006  -1,5945179e-007            
2,1116139e-006  -8,6346526e-008            
2,1618904e-006  -6,0645682e-008            
2,2121669e-006  -6,0822485e-008            
2,2624434e-006  -6,8070834e-008            
2,31272e-006  -7,8394801e-008            
2,3629965e-006  -1,0242093e-007            
2,413273e-006  -1,7207848e-007            
2,4635495e-006  -2,2068282e-007            
2,513826e-006  -2,2366635e-007            
2,5641026e-006  -2,2740464e-007            
2,6143791e-006  -2,2896251e-007            
2,6646556e-006  -2,3070391e-007            
2,7149321e-006  -2,318089e-007            
2,7652086e-006  -2,3350564e-007            
2,8154852e-006  -2,3598184e-007            
2,8657617e-006  -2,3601395e-007            
2,9160382e-006  -2,378866e-007            
2,9663147e-006  -2,3619395e-007            
3,0165913e-006  -2,3470453e-007            
3,0668678e-006  -2,2698265e-007            
3,1171443e-006  -1,5058551e-007            
3,1674208e-006  -1,0349684e-007            
3,2176973e-006  -8,2121684e-008            
3,2679739e-006  -7,9356024e-008            
3,3182504e-006  -7,8296614e-008            
3,3685269e-006  -8,6284326e-008            
3,4188034e-006  -1,4445378e-007            
3,4690799e-006  -2,1602655e-007            
3,5193565e-006  -2,1958283e-007            
3,569633e-006  -2,2196103e-007            
3,6199095e-006  -2,241564e-007            
3,670186e-006  -2,0589585e-007            
3,7204625e-006  -1,4842975e-007            
3,7707391e-006  -1,2361898e-007            
3,8210156e-006  -1,1564789e-007            
3,8712921e-006  -1,1019611e-007            
3,9215686e-006  -1,0861791e-007            
3,9718451e-006  -1,1929838e-007            
4,0221217e-006  -1,5456786e-007            
4,0723982e-006  -2,2299255e-007            
4,1226747e-006  -2,4562221e-007            
4,1729512e-006  -2,4602675e-007            
4,2232278e-006  -2,4286114e-007            
4,2735043e-006  -2,3990188e-007            
4,3237808e-006  -2,3538259e-007            
4,3740573e-006  -2,3061025e-007            
4,4243338e-006  -2,259039e-007            
4,4746104e-006  -2,2094344e-007            
4,5248869e-006  -2,1912839e-007            
4,5751634e-006  -2,166808e-007            
4,6254399e-006  -2,0538034e-007            
4,6757164e-006  -1,5814953e-007            
4,725993e-006  -9,7532583e-008            
4,7762695e-006  -7,4032447e-008            
4,826546e-006  -6,9067708e-008            
4,8768225e-006  -7,5200214e-008            
4,927099e-006  -7,9687719e-008            
4,9773756e-006  -8,1338183e-008            
