Profile 1             
x       y           
[m]     [m]         
0  0            
5,0274434e-008  0            
1,0054887e-007  0            
1,508233e-007  0            
2,0109774e-007  0            
2,5137217e-007  0,007878791            
3,016466e-007  0,011577827            
3,5192104e-007  0,013926612            
4,0219547e-007  0,01756847            
4,524699e-007  0,018648653            
5,0274434e-007  0,0082193338            
5,5301877e-007  0,0061987954            
6,0329321e-007  0,0013244574            
6,5356764e-007  0            
7,0384207e-007  0            
7,5411651e-007  0            
8,0439094e-007  0            
8,5466538e-007  0,0055916114            
9,0493981e-007  0,0069684738            
9,5521424e-007  0,0070528199            
1,0054887e-006  0,007607863            
1,0557631e-006  0,0076754936            
1,1060375e-006  0,0055263588            
1,156312e-006  0,0063258129            
1,2065864e-006  0,00091348541            
1,2568608e-006  0            
1,3071353e-006  0            
1,3574097e-006  0            
1,4076841e-006  0            
1,4579586e-006  0            
1,508233e-006  0            
1,5585074e-006  0            
1,6087819e-006  0            
1,6590563e-006  0            
1,7093308e-006  0            
1,7596052e-006  0            
1,8098796e-006  0,02407224            
1,8601541e-006  0,042056603            
1,9104285e-006  0,056627964            
1,9607029e-006  0,075690384            
2,0109774e-006  0,08753276            
2,0612518e-006  0,015904193            
2,1115262e-006  0,0082856724            
2,1618007e-006  0,00028934706            
2,2120751e-006  0            
2,2623495e-006  0            
2,312624e-006  0            
2,3628984e-006  0            
2,4131728e-006  0            
2,4634473e-006  0            
2,5137217e-006  0            
2,5639961e-006  0            
2,6142706e-006  0            
2,664545e-006  0            
2,7148194e-006  0            
2,7650939e-006  0            
2,8153683e-006  0,00039436293            
2,8656427e-006  0,01102443            
2,9159172e-006  0,010432075            
2,9661916e-006  0,012433961            
3,016466e-006  0,014079789            
3,0667405e-006  0,015081967            
3,1170149e-006  0,0060485401            
3,1672893e-006  0,0019379092            
3,2175638e-006  0            
3,2678382e-006  0            
3,3181126e-006  0            
3,3683871e-006  0            
3,4186615e-006  0,0019856481            
3,4689359e-006  0,020438049            
3,5192104e-006  0,028063004            
3,5694848e-006  0,030327659            
3,6197592e-006  0,029404748            
3,6700337e-006  0,01084361            
3,7203081e-006  0,0079353816            
3,7705825e-006  0,0056293664            
3,820857e-006  0            
3,8711314e-006  0            
3,9214058e-006  0            
3,9716803e-006  0            
4,0219547e-006  0            
4,0722291e-006  0            
4,1225036e-006  0            
4,172778e-006  0            
4,2230524e-006  0            
4,2733269e-006  0            
4,3236013e-006  0            
4,3738757e-006  0,00069632671            
4,4241502e-006  0,0039122061            
4,4744246e-006  0,0064953704            
4,524699e-006  0,0091065969            
4,5749735e-006  0,01122493            
4,6252479e-006  0,011784028            
4,6755223e-006  0,0058531816            
4,7257968e-006  0,0051307551            
4,7760712e-006  0,0059419221            
4,8263456e-006  0,0065720611            
4,8766201e-006  0,0064350107            
4,9268945e-006  0,0067766207            
4,9771689e-006  0,0068348921            
