Profile 1             
x       y           
[m]     [m]         
0  -1,0512755e-007            
5,0276521e-008  -1,1284399e-007            
1,0055304e-007  -1,3736615e-007            
1,5082956e-007  -1,9958951e-007            
2,0110608e-007  -2,3465464e-007            
2,513826e-007  -2,4071839e-007            
3,0165913e-007  -2,4079381e-007            
3,5193565e-007  -2,3688133e-007            
4,0221217e-007  -2,3317139e-007            
4,5248869e-007  -2,3028219e-007            
5,0276521e-007  -2,2605001e-007            
5,5304173e-007  -2,2159004e-007            
6,0331825e-007  -2,188995e-007            
6,5359477e-007  -2,1576424e-007            
7,0387129e-007  -1,6957523e-007            
7,5414781e-007  -1,0257358e-007            
8,0442433e-007  -6,4509679e-008            
8,5470085e-007  -5,3207896e-008            
9,0497738e-007  -5,6275821e-008            
9,552539e-007  -5,6591646e-008            
1,0055304e-006  -7,1993398e-008            
1,0558069e-006  -1,2009002e-007            
1,1060835e-006  -1,9116678e-007            
1,15636e-006  -2,1853883e-007            
1,2066365e-006  -2,2308868e-007            
1,256913e-006  -2,2582118e-007            
1,3071895e-006  -2,2166298e-007            
1,3574661e-006  -1,7866803e-007            
1,4077426e-006  -1,3366029e-007            
1,4580191e-006  -1,1399552e-007            
1,5082956e-006  -1,0710264e-007            
1,5585721e-006  -1,0332002e-007            
1,6088487e-006  -1,0881867e-007            
1,6591252e-006  -1,4967192e-007            
1,7094017e-006  -2,1717087e-007            
1,7596782e-006  -2,3141348e-007            
1,8099548e-006  -2,3063253e-007            
1,8602313e-006  -2,2684014e-007            
1,9105078e-006  -2,2576328e-007            
1,9607843e-006  -2,2500623e-007            
2,0110608e-006  -2,2284138e-007            
2,0613374e-006  -2,1917018e-007            
2,1116139e-006  -2,1687034e-007            
2,1618904e-006  -2,1429243e-007            
2,2121669e-006  -2,1400232e-007            
2,2624434e-006  -1,9033591e-007            
2,31272e-006  -1,2048269e-007            
2,3629965e-006  -9,088276e-008            
2,413273e-006  -8,7196005e-008            
2,4635495e-006  -9,0609281e-008            
2,513826e-006  -9,7811696e-008            
2,5641026e-006  -1,0769235e-007            
2,6143791e-006  -1,3156277e-007            
2,6646556e-006  -1,9273409e-007            
2,7149321e-006  -2,4169131e-007            
2,7652086e-006  -2,4509396e-007            
2,8154852e-006  -2,4682083e-007            
2,8657617e-006  -2,4799286e-007            
2,9160382e-006  -2,4853213e-007            
2,9663147e-006  -2,4686035e-007            
3,0165913e-006  -2,4476238e-007            
3,0668678e-006  -2,4342385e-007            
3,1171443e-006  -2,4175313e-007            
3,1674208e-006  -2,3900443e-007            
3,2176973e-006  -2,3514845e-007            
3,2679739e-006  -2,2158039e-007            
3,3182504e-006  -1,5199066e-007            
3,3685269e-006  -1,040908e-007            
3,4188034e-006  -8,9495155e-008            
3,4690799e-006  -8,6394916e-008            
3,5193565e-006  -8,8132259e-008            
3,569633e-006  -9,6638811e-008            
3,6199095e-006  -1,2671487e-007            
3,670186e-006  -1,8388462e-007            
3,7204625e-006  -2,3569772e-007            
3,7707391e-006  -2,4921998e-007            
3,8210156e-006  -2,510121e-007            
3,8712921e-006  -2,4844982e-007            
3,9215686e-006  -2,1843952e-007            
3,9718451e-006  -1,6156588e-007            
4,0221217e-006  -1,3814134e-007            
4,0723982e-006  -1,2914489e-007            
4,1226747e-006  -1,2653857e-007            
4,1729512e-006  -1,3080962e-007            
4,2232278e-006  -1,6237835e-007            
4,2735043e-006  -2,2331574e-007            
4,3237808e-006  -2,4492384e-007            
4,3740573e-006  -2,4163628e-007            
4,4243338e-006  -2,3678973e-007            
4,4746104e-006  -2,3216744e-007            
4,5248869e-006  -2,301428e-007            
4,5751634e-006  -2,2855633e-007            
4,6254399e-006  -2,2532919e-007            
4,6757164e-006  -2,2316784e-007            
4,725993e-006  -2,2368809e-007            
4,7762695e-006  -2,2520312e-007            
4,826546e-006  -2,2825867e-007            
4,8768225e-006  -2,262711e-007            
4,927099e-006  -1,9403981e-007            
4,9773756e-006  -1,5881367e-007            
