Profile 1             
x       y           
[m]     [m]         
0  0            
5,0274434e-008  0            
1,0054887e-007  0            
1,508233e-007  0            
2,0109774e-007  0            
2,5137217e-007  0            
3,016466e-007  0,0044803294            
3,5192104e-007  0,0094589157            
4,0219547e-007  0,013594943            
4,524699e-007  0,01894826            
5,0274434e-007  0,022657947            
5,5301877e-007  0,018881415            
6,0329321e-007  0,016741541            
6,5356764e-007  0,016005631            
7,0384207e-007  0,011303378            
7,5411651e-007  0,0042935519            
8,0439094e-007  0,0024489005            
8,5466538e-007  0,0012022591            
9,0493981e-007  0,0021659129            
9,5521424e-007  0,0035961428            
1,0054887e-006  0,0042279124            
1,0557631e-006  0,0057299949            
1,1060375e-006  0,0075231843            
1,156312e-006  0,010031929            
1,2065864e-006  0,0091412768            
1,2568608e-006  0,0075592176            
1,3071353e-006  0,0061387766            
1,3574097e-006  0,0042228218            
1,4076841e-006  0,0019841787            
1,4579586e-006  0,00075524278            
1,508233e-006  6,7776918e-005            
1,5585074e-006  0            
1,6087819e-006  0            
1,6590563e-006  0            
1,7093308e-006  0            
1,7596052e-006  0            
1,8098796e-006  0            
1,8601541e-006  0,010392468            
1,9104285e-006  0,026185586            
1,9607029e-006  0,043467987            
2,0109774e-006  0,064426543            
2,0612518e-006  0,08379791            
2,1115262e-006  0,075731803            
2,1618007e-006  0,06430306            
2,2120751e-006  0,049542594            
2,2623495e-006  0,032790538            
2,312624e-006  0,0072631459            
2,3628984e-006  0,0034776893            
2,4131728e-006  0,0018628354            
2,4634473e-006  5,0765054e-006            
2,5137217e-006  0            
2,5639961e-006  0            
2,6142706e-006  0            
2,664545e-006  0            
2,7148194e-006  0            
2,7650939e-006  0            
2,8153683e-006  0            
2,8656427e-006  0,00017391892            
2,9159172e-006  0,0044047848            
2,9661916e-006  0,0082244028            
3,016466e-006  0,010961001            
3,0667405e-006  0,012971875            
3,1170149e-006  0,014357668            
3,1672893e-006  0,016493775            
3,2175638e-006  0,016244802            
3,2678382e-006  0,013328693            
3,3181126e-006  0,0071865459            
3,3683871e-006  0,0027562042            
3,4186615e-006  0,0016431892            
3,4689359e-006  0,00096137454            
3,5192104e-006  0,0018706224            
3,5694848e-006  0,0043485634            
3,6197592e-006  0,010432659            
3,6700337e-006  0,020673454            
3,7203081e-006  0,030321503            
3,7705825e-006  0,038368438            
3,820857e-006  0,035176315            
3,8711314e-006  0,027428918            
3,9214058e-006  0,016206303            
3,9716803e-006  0,0039721822            
4,0219547e-006  0,0016582771            
4,0722291e-006  0            
4,1225036e-006  0            
4,172778e-006  0            
4,2230524e-006  0            
4,2733269e-006  0            
4,3236013e-006  0            
4,3738757e-006  0            
4,4241502e-006  0,0002037701            
4,4744246e-006  0,0013593226            
4,524699e-006  0,0030874723            
4,5749735e-006  0,0045725352            
4,6252479e-006  0,0066057374            
4,6755223e-006  0,0084696105            
4,7257968e-006  0,0087648875            
4,7760712e-006  0,0097056982            
4,8263456e-006  0,0093369546            
4,8766201e-006  0,008691088            
4,9268945e-006  0,0079342438            
4,9771689e-006  0,0077923993            
