Profile 1             
x       y           
[m]     [m]         
0  -2,3829655e-007            
5,0276521e-008  -2,571483e-007            
1,0055304e-007  -2,6533256e-007            
1,5082956e-007  -2,6514784e-007            
2,0110608e-007  -2,6244101e-007            
2,513826e-007  -2,6226338e-007            
3,0165913e-007  -2,6162614e-007            
3,5193565e-007  -2,5779899e-007            
4,0221217e-007  -2,5496439e-007            
4,5248869e-007  -2,5077684e-007            
5,0276521e-007  -1,7380364e-007            
5,5304173e-007  -1,1035701e-007            
6,0331825e-007  -8,4575247e-008            
6,5359477e-007  -8,1528332e-008            
7,0387129e-007  -8,2024479e-008            
7,5414781e-007  -8,0640392e-008            
8,0442433e-007  -1,0456238e-007            
8,5470085e-007  -1,8357038e-007            
9,0497738e-007  -2,2131098e-007            
9,552539e-007  -2,2783443e-007            
1,0055304e-006  -2,2969988e-007            
1,0558069e-006  -2,265785e-007            
1,1060835e-006  -1,708164e-007            
1,15636e-006  -1,355673e-007            
1,2066365e-006  -1,2139803e-007            
1,256913e-006  -1,1639788e-007            
1,3071895e-006  -1,124175e-007            
1,3574661e-006  -1,1323755e-007            
1,4077426e-006  -1,3404172e-007            
1,4580191e-006  -1,9990189e-007            
1,5082956e-006  -2,4859137e-007            
1,5585721e-006  -2,5555854e-007            
1,6088487e-006  -2,5506036e-007            
1,6591252e-006  -2,5328914e-007            
1,7094017e-006  -2,5217994e-007            
1,7596782e-006  -2,5224533e-007            
1,8099548e-006  -2,499513e-007            
1,8602313e-006  -2,465284e-007            
1,9105078e-006  -2,4430437e-007            
1,9607843e-006  -2,4418063e-007            
2,0110608e-006  -2,401274e-007            
2,0613374e-006  -1,7282848e-007            
2,1116139e-006  -1,1114962e-007            
2,1618904e-006  -8,9667823e-008            
2,2121669e-006  -8,8240831e-008            
2,2624434e-006  -9,7840388e-008            
2,31272e-006  -1,0858516e-007            
2,3629965e-006  -1,3605831e-007            
2,413273e-006  -2,1601962e-007            
2,4635495e-006  -2,499573e-007            
2,513826e-006  -2,5235818e-007            
2,5641026e-006  -2,5689388e-007            
2,6143791e-006  -2,581764e-007            
2,6646556e-006  -2,596382e-007            
2,7149321e-006  -2,6108935e-007            
2,7652086e-006  -2,6206333e-007            
2,8154852e-006  -2,6440799e-007            
2,8657617e-006  -2,6478159e-007            
2,9160382e-006  -2,6707473e-007            
2,9663147e-006  -2,6487872e-007            
3,0165913e-006  -2,6322615e-007            
3,0668678e-006  -2,5287934e-007            
3,1171443e-006  -1,6659823e-007            
3,1674208e-006  -1,2745135e-007            
3,2176973e-006  -1,1000299e-007            
3,2679739e-006  -1,0783747e-007            
3,3182504e-006  -1,0548134e-007            
3,3685269e-006  -1,1940806e-007            
3,4188034e-006  -1,8981152e-007            
3,4690799e-006  -2,4574492e-007            
3,5193565e-006  -2,4840641e-007            
3,569633e-006  -2,5162025e-007            
3,6199095e-006  -2,5190668e-007            
3,670186e-006  -2,2092086e-007            
3,7204625e-006  -1,710483e-007            
3,7707391e-006  -1,4954264e-007            
3,8210156e-006  -1,427522e-007            
3,8712921e-006  -1,3716598e-007            
3,9215686e-006  -1,3797449e-007            
3,9718451e-006  -1,4969514e-007            
4,0221217e-006  -1,9117338e-007            
4,0723982e-006  -2,6338208e-007            
4,1226747e-006  -2,7485835e-007            
4,1729512e-006  -2,7488825e-007            
4,2232278e-006  -2,721203e-007            
4,2735043e-006  -2,6869464e-007            
4,3237808e-006  -2,6437562e-007            
4,3740573e-006  -2,5951293e-007            
4,4243338e-006  -2,5464245e-007            
4,4746104e-006  -2,495038e-007            
4,5248869e-006  -2,4802061e-007            
4,5751634e-006  -2,455055e-007            
4,6254399e-006  -2,2967408e-007            
4,6757164e-006  -1,7113188e-007            
4,725993e-006  -1,2098862e-007            
4,7762695e-006  -1,0213749e-007            
4,826546e-006  -9,8551966e-008            
4,8768225e-006  -1,0419235e-007            
4,927099e-006  -1,086848e-007            
4,9773756e-006  -1,111064e-007            
